,gene_claudin-low,score_claudin-low,gene_LumA,score_LumA,gene_LumB,score_LumB,gene_Her2,score_Her2,gene_Normal,score_Normal,gene_Basal,Basal
18400,PRAMEF18,1.3243754123460605,LOC441601,6.452537827965616,LOC344967,2.7752497928433484,H2BC10,0.34335265425773026,AQP7P1,0.09449840369903993,TMPRSS5,0.9102832360594836
18401,IPO9,1.3243132260436483,LOC124685,6.452230673921667,TMEM51-AS1,2.775141856448959,HBG2,0.34334192031558114,TCRAV5.1a,0.09449768187843745,GHRHR,0.9102083689183745
18402,MRPL43,1.3243087367379798,LOC100289656,6.451367362497671,LINC01121,2.7742767924063108,TIRAP,0.3433311001023965,TFEB,0.09449043295687733,ZNF83,0.9099221532234872
18403,HOXA7,1.324298737880059,HCN1,6.450011762506302,KLHL25,2.7739176927125664,MAGEB6,0.3432723252440006,LCE1B,0.09448872703843456,BEST3,0.9098504193103589
18404,ADGRF5,1.3241383325312681,OR5K1,6.449638977101151,OR3A2,2.7737824099094466,SPATA22,0.34326594098815644,ACHE,0.09442025536462596,SH3RF3,0.9095441728514384
18405,MED16,1.3239438648278952,SOGA3,6.448759108182826,OR56B4,2.7735358615284302,GOLGA7B,0.3432637583365128,LOC440742,0.09438871062066989,MIR1-1HG,0.9095153240493915
18406,CYP2D6,1.3236748979538813,FAM181A,6.448631016598052,SYN2,2.773383119149853,LOC100130269,0.34325545119426,SLC7A14,0.09438552142696473,POT1,0.9093138120097444
18407,TELO2,1.3236437017601674,RAPGEF5,6.448623333538313,ARR3,2.773098039850549,UGT1A7,0.3431804511910645,ARNTL2,0.09435025220303962,CEP120,0.909271359101019
18408,KDM6B,1.3235919763029647,PLA2G2F,6.447763660537795,ARG1,2.7720171506327254,OR10R2,0.3431744306658186,GPT,0.09433243615419204,RNF225,0.9092596164108554
18409,PAAF1,1.3235361826865728,ITFG2-AS1,6.447667158529911,SERPINB11,2.771932565071399,DUSP5P1,0.3431347785909391,AKAP6,0.09432073493362356,ARF4,0.9091907826285435
18410,CCDC33,1.3234531050348326,CHRNA4,6.447123183096043,SULT1C4,2.7717405624508986,TAS1R1,0.3430850843855026,A1BG,0.09431729472233051,GNPAT,0.909096682611422
18411,BAZ1B,1.3232827146368753,PPP1R2B,6.445101338416798,CRYBB3,2.771656277134131,KDM1B,0.3430180247976524,LLCFC1,0.09428442402891547,EXOSC2,0.9088991288989667
18412,UBE2Q2L,1.322946738788133,ZNF295-AS1,6.443150662987114,CACNB1,2.77124503083866,ZNF708,0.3429742828466938,POMZP3,0.09425579069210074,BSDC1,0.9087285997826874
18413,OR51Q1,1.322942790970346,SSX8P,6.441478365795273,LOC100288144,2.7692431684881154,ADAMTSL4,0.34293528481045155,TAS1R1,0.09424161783872573,USP17L2,0.9085572196770576
18414,WDR66,1.322361664921474,LENEP,6.441203273847508,TBC1D1,2.76909421339292,ADGRG7,0.3428613324092889,OR51A4,0.09424141502979771,GOPC,0.9084637896384712
18415,BC028360,1.3221825304643482,PRB3,6.440140965742504,ANGEL1,2.768871922744326,HHLA1,0.3428503611921356,FSCB,0.09421891216062689,NEFH,0.908237918250133
18416,CALCB,1.322177776743179,SYT10,6.440023441780184,LINC01994,2.76881225928607,BIRC3,0.34284833065344217,LOC100132154,0.09421325218929977,GPRC5C,0.9080818770307457
18417,SLC9C2,1.3215003942100605,LOC643406,6.439965624306649,OR6K2,2.768121891584112,MUC3B,0.3428340306062925,LOC100507170,0.09419877519361956,ADAM9,0.9080530192591865
18418,SEPTIN14,1.321398251082491,TRIM51GP,6.437358119203352,OR8K5,2.76784912437904,IRF1,0.34282227454776015,SPATA3,0.09417558078268917,PPARGC1B,0.9079299385263743
18419,CEACAM22P,1.3211913228333574,LGI1,6.436827951508348,LOC387647,2.767781547537221,ADPRM,0.34282067707466296,OR2L8,0.0941629771039515,LILRA4,0.9079178402046095
18420,MASTL,1.3210915084909574,NKX2-5,6.436092787673174,ZNF622,2.7677631745516917,KIAA0890,0.3428075505030738,KRTAP9-4,0.09415217079358244,CCDC179,0.9078718946877847
18421,CYP3A43,1.3210592770476839,ZNF804B,6.435996411007916,ALPK3,2.7670266234212866,GLP2R,0.34280473507236625,ZNF404,0.09414610218806484,PPP1R3C,0.9077644887945644
18422,CREB3L1,1.3210374140761536,LINC02053,6.432708026402418,OR2T10,2.766243563678744,TRV3J34,0.3427834194686424,S1PR3,0.09413259756261085,ST6GALNAC5,0.9075649144023297
18423,ACOT12,1.3209679452321306,AKR1E2,6.4318922287452915,FAM218A,2.765930596082003,TMEM190,0.34276266718371096,CELA3A,0.094126911789231,LILRB1,0.9073010079057939
18424,TAF9B,1.3209229930859545,OR4F4,6.431632218730197,CCL26,2.7652352982639252,RALYL,0.34276100811847326,CXCL13,0.09412059625672026,METTL21A,0.9072432763900629
18425,PIGC,1.3208864715362871,LOC284798,6.428841834513922,P2RX6,2.765127899674787,AB231761,0.3427507082146269,DNMBP,0.09411333531777699,ANKH,0.9071757950713769
18426,STPG4,1.32087688618702,PTH2,6.428511669617711,USP50,2.764921684886522,FN3K,0.3427443223735382,AQP7,0.09410019717674767,SCNN1D,0.9070477609400838
18427,UBL4B,1.3207248657396728,EGR4,6.428070446973303,LOC100130264,2.763307326294497,OPHN1,0.34270499435586216,LOC650293,0.09409247093920253,PTPRJ,0.9070353999779532
18428,MCC,1.320575410996745,TMEM29,6.427447073451292,ATXN7,2.7623403922162453,OTUD3,0.3426547458581945,SLC6A3,0.09408981568929937,STOML3,0.907006945137709
18429,PDGFD,1.3205660019785368,FLJ44881,6.426271546644961,FLJ44635,2.762268694369186,BC073927,0.3426515060942807,ADAM21,0.0940748841942311,GM2A,0.9069013240385551
18430,FLJ44838,1.3203155756415166,LOC286177,6.425839170257389,LOC645427,2.7620010564812514,THEMIS2,0.34245497352603443,TSHB,0.09404026358807563,GBA3,0.9068685068170713
18431,PRSS56,1.320248683316974,LOC100289094,6.425306192124404,CD200R1L,2.7619920893970344,LOC400099,0.34227097766184367,MAGI2,0.09402674856735865,TMEM167A,0.906815238112756
18432,EIF3B,1.3202264710668419,SCGB1D4,6.4248481741423,LOC389300,2.761928953830335,NCF1C,0.3422477839099296,CLVS2,0.09402619060352765,LINC00323,0.9067253089470368
18433,KHK,1.3201530922374967,ADAM3A,6.423977509128953,HLA-DRB1,2.7618296682822825,CSAG1,0.3421862222606978,AK098304,0.09402274072125888,RNF103,0.9066717403456207
18434,TET3,1.32008476796679,OR4C6,6.422871590166702,SRY,2.7615849796593435,LRRC72,0.34214577537816543,WDFY4,0.09401048029594003,GRIN2B,0.9064424878475622
18435,KBTBD13,1.3199631895267057,CCDC197,6.422204164444663,IGSF23,2.7615475009698414,GLTPD2,0.34210452310281614,NPBWR1,0.09400543504450642,VPS35,0.9062826215590346
18436,SPACA4,1.3197133592570847,LOC100507562,6.422080118762707,PCDHB6,2.761009595583148,LOC401463,0.3421017713662527,TRPC4,0.09398093161240294,MED27,0.9062391745936753
18437,LINC00251,1.319422493008992,KLHL32,6.422013293197517,IRF5,2.7608019728446864,C6orf217,0.342072639997062,SLC16A13,0.0939701520786132,PRRX2,0.9062150704697991
18438,ALX4,1.31938757511039,SFTPA1,6.421262145146191,SPX,2.7594719157231102,LINC00485,0.3420542383011799,HRG,0.09396944603282241,PKLR,0.9061586048747736
18439,AK128037,1.3191208275072301,LPO,6.421063333524697,MYOG,2.7583188604568276,KCNA4,0.3420281846515357,RNASE9,0.09396705123808241,WFDC8,0.9061581208082422
18440,GABRE,1.319108279303063,ADORA2B,6.420060041339301,FLJ30375,2.757949547069932,KLRK1,0.34200278207807666,PNPO,0.09394444755277984,NUF2,0.906051713093395
