,gene_Her2_x,score_Her2_x,gene_Her2_y,score_Her2_y
13470,GSTT2B,0.5314174944059677,GSTT2B,0.5314174944059677
13471,PDZD4,0.5314144083999403,PDZD4,0.5314144083999403
13472,LGR5,0.531410019047589,LGR5,0.531410019047589
13473,REN,0.5313709907277542,REN,0.5313709907277542
13474,BTG1,0.5313459895293126,BTG1,0.5313459895293126
13475,CYB5D1,0.5313384508707817,CYB5D1,0.5313384508707817
13476,ERMAP,0.5312646583936305,ERMAP,0.5312646583936305
13477,WT1,0.5312233172252527,WT1,0.5312233172252527
13478,ATF7IP,0.5312111451091321,ATF7IP,0.5312111451091321
13479,ZKSCAN8,0.5311414130231192,ZKSCAN8,0.5311414130231192
13480,SLCO4A1,0.5311297588556675,SLCO4A1,0.5311297588556675
13481,CXCL10,0.5311261973448261,CXCL10,0.5311261973448261
13482,CHCHD6,0.5311029431261587,CHCHD6,0.5311029431261587
13483,TMEM132C,0.531058877160576,TMEM132C,0.531058877160576
13484,CTSA,0.531058869906192,CTSA,0.531058869906192
13485,BARHL2,0.5309584892913841,BARHL2,0.5309584892913841
13486,TRIM43,0.5309538601286922,TRIM43,0.5309538601286922
13487,NPPA,0.5309521182959626,NPPA,0.5309521182959626
13488,CTNNBL1,0.5309335185696012,CTNNBL1,0.5309335185696012
13489,PDLIM7,0.5309316784508225,PDLIM7,0.5309316784508225
13490,SLC39A4,0.5309204602846347,SLC39A4,0.5309204602846347
13491,KRTAP2-1,0.5309165801918369,KRTAP2-1,0.5309165801918369
13492,PNMA8A,0.5309076308591909,PNMA8A,0.5309076308591909
13493,BEX5,0.5308952384860788,BEX5,0.5308952384860788
13494,CACUL1,0.5308894471601662,CACUL1,0.5308894471601662
13495,SERPINE3,0.5308476560296745,SERPINE3,0.5308476560296745
13496,ACSS3,0.5308111055591369,ACSS3,0.5308111055591369
13497,GPR179,0.5307953797726951,GPR179,0.5307953797726951
13498,MKRN2OS,0.5307878137600885,MKRN2OS,0.5307878137600885
13499,NFATC3,0.5307753788778299,NFATC3,0.5307753788778299
13500,BCR,0.5307701285212028,BCR,0.5307701285212028
13501,LOC643962,0.5307595241866357,LOC643962,0.5307595241866357
13502,FBN2,0.5307375796901557,FBN2,0.5307375796901557
13503,LOC100130642,0.5307250890223181,LOC100130642,0.5307250890223181
13504,MSH4,0.5306914084421681,MSH4,0.5306914084421681
13505,ASZ1,0.5306684918171642,ASZ1,0.5306684918171642
13506,ZFP64,0.5306563560979614,ZFP64,0.5306563560979614
13507,BOLA2,0.5306426943024755,BOLA2,0.5306426943024755
13508,TSPAN16,0.5306176012399844,TSPAN16,0.5306176012399844
13509,ALDH3A2,0.5305780432198886,ALDH3A2,0.5305780432198886
13510,C16orf71,0.5305726562253508,C16orf71,0.5305726562253508
13511,LOC286083,0.5305654971466257,LOC286083,0.5305654971466257
13512,TTY3,0.5305225322387468,TTY3,0.5305225322387468
13513,RIT2,0.5305133376084197,RIT2,0.5305133376084197
13514,C11orf40,0.5305027193078393,C11orf40,0.5305027193078393
13515,FOXP3,0.5304824848239887,FOXP3,0.5304824848239887
13516,ADAD1,0.5304815611501003,ADAD1,0.5304815611501003
13517,GLUD2,0.5304714272037103,GLUD2,0.5304714272037103
13518,SYTL3,0.5304505412946725,SYTL3,0.5304505412946725
13519,DRD2,0.5304394904217105,DRD2,0.5304394904217105
13520,LCORL,0.5304286366801012,LCORL,0.5304286366801012
13521,WDR48,0.5303813377435546,WDR48,0.5303813377435546
13522,LBX2,0.5303581505385312,LBX2,0.5303581505385312
13523,TTC39A,0.530296806920757,TTC39A,0.530296806920757
13524,IGSF6,0.5302964119048053,IGSF6,0.5302964119048053
13525,PDE4A,0.5302658582403424,PDE4A,0.5302658582403424
13526,CT47A6,0.5302512835473473,CT47A6,0.5302512835473473
13527,NR6A1,0.5302477968762873,NR6A1,0.5302477968762873
13528,CD300E,0.5302283107846438,CD300E,0.5302283107846438
13529,RASL11B,0.5302109532514535,RASL11B,0.5302109532514535
13530,FUOM,0.5302095280016929,FUOM,0.5302095280016929
13531,OR5AR1,0.5301494729988528,OR5AR1,0.5301494729988528
13532,EDEM2,0.5301259767644401,EDEM2,0.5301259767644401
13533,GBP2,0.5301236459773456,GBP2,0.5301236459773456
13534,TNIK,0.5301130912880138,TNIK,0.5301130912880138
13535,ZNF644,0.5300932447820876,ZNF644,0.5300932447820876
13536,KNCN,0.530081189686248,KNCN,0.530081189686248
13537,ABCB1,0.5300435939921523,ABCB1,0.5300435939921523
13538,C11orf94,0.530034011432712,C11orf94,0.530034011432712
13539,TMED9,0.5300290568419846,TMED9,0.5300290568419846
13540,NELL2,0.5299707660868123,NELL2,0.5299707660868123
13541,PLAC9P1,0.5299010843582282,PLAC9P1,0.5299010843582282
13542,MAN1B1,0.5298687988841143,MAN1B1,0.5298687988841143
13543,LOC100506317,0.5298670339501679,LOC100506317,0.5298670339501679
